Grain List
mean,stdev,Par2,Par3
15,1.5,0,0,
Cellnum,Thresh
37,72,0,14.352
67,38,0,14.879
56,138,0,16.402
58,96,0,13.623
59,121,0,15.303
49,146,0,17.23
40,79,0,16.728
12,141,0,16.362
35,141,0,13.133
13,119,0,14.277
UndThr,,,,,0,0.2,0.4,0.6,0.8,1,1.2,1.4,1.6,1.8,2,2.2,2.4,2.6,2.8,3,3.2,3.4,3.6,3.8,4,4.2,4.4,4.6,4.8,5,5.2,5.4,5.6,5.8,6,6.2,6.4,6.6,6.8,7,7.2,7.4,7.6,7.8,8,8.2,8.4,8.6,8.8,9,9.2,9.4,9.6,9.8,10
-1,0,0,0,0,12790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
